group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
All,46958,406.49,284801.97,0.67,ukb_val,fvc,8,hs_grad,true
white,44562,406.86,285437.88,0.67,ukb_val,fvc,8,hs_grad,true
black,609,378.88,234815.14,0.64,ukb_val,fvc,8,hs_grad,true
asian,1051,391.68,262804.84,0.60,ukb_val,fvc,8,hs_grad,true
other,736,428.53,319072.95,0.64,ukb_val,fvc,8,hs_grad,true
All,7323,549.08,497420.91,0.53,nh,fvc,7,hs_grad,false
white,2466,475.51,371481.29,0.69,nh,fvc,7,hs_grad,false
black,1828,479.26,384708.91,0.54,nh,fvc,7,hs_grad,false
asian,198,414.09,279988.96,0.68,nh,fvc,7,hs_grad,false
hispanic,2489,688.65,732076.82,0.23,nh,fvc,7,hs_grad,false
other,342,515.17,426068.85,0.57,nh,fvc,7,hs_grad,false
All,7323,535.93,466575.55,0.56,nh,fvc,8,hs_grad,true
white,2466,453.83,342912.16,0.71,nh,fvc,8,hs_grad,true
black,1828,501.98,412397.77,0.51,nh,fvc,8,hs_grad,true
asian,198,499.76,402983.67,0.54,nh,fvc,8,hs_grad,true
hispanic,2489,650.62,641624.01,0.32,nh,fvc,8,hs_grad,true
other,342,495.61,410688.15,0.58,nh,fvc,8,hs_grad,true
All,3860,544.16,488996.72,0.54,nh3,fvc,7,hs_grad,false
white,1293,465.53,355807.50,0.71,nh3,fvc,7,hs_grad,false
black,1120,495.46,403862.60,0.53,nh3,fvc,7,hs_grad,false
hispanic,1259,668.25,703181.13,0.25,nh3,fvc,7,hs_grad,false
other,188,544.04,477856.79,0.51,nh3,fvc,7,hs_grad,false
All,3860,513.36,427331.87,0.60,nh3,fvc,8,hs_grad,true
white,1293,441.34,323701.82,0.74,nh3,fvc,8,hs_grad,true
black,1120,487.87,387299.01,0.55,nh3,fvc,8,hs_grad,true
hispanic,1259,614.10,573783.43,0.39,nh3,fvc,8,hs_grad,true
other,188,485.96,397799.73,0.60,nh3,fvc,8,hs_grad,true
All,3463,568.62,533079.20,0.49,nh4,fvc,7,hs_grad,false
white,1173,487.21,401481.07,0.65,nh4,fvc,7,hs_grad,false
black,708,682.84,739602.23,0.08,nh4,fvc,7,hs_grad,false
asian,198,506.50,394337.30,0.55,nh4,fvc,7,hs_grad,false
hispanic,1230,603.88,586881.89,0.38,nh4,fvc,7,hs_grad,false
other,154,461.75,334636.83,0.65,nh4,fvc,7,hs_grad,false
All,3463,567.46,529248.33,0.50,nh4,fvc,8,hs_grad,true
white,1173,546.76,469842.70,0.59,nh4,fvc,8,hs_grad,true
black,708,615.92,601174.94,0.25,nh4,fvc,8,hs_grad,true
asian,198,542.08,452021.22,0.49,nh4,fvc,8,hs_grad,true
hispanic,1230,567.44,566079.64,0.40,nh4,fvc,8,hs_grad,true
other,154,535.19,456178.29,0.52,nh4,fvc,8,hs_grad,true
All,46958,411.94,292018.11,0.67,ukb_val,fvc,8,smoke_exposure,false
white,44562,409.32,288855.00,0.66,ukb_val,fvc,8,smoke_exposure,false
black,609,492.97,379680.33,0.42,ukb_val,fvc,8,smoke_exposure,false
