group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
asian,1017,368.59,350.79,388.50,230217.85,200240.94,273088.87,0.41,0.34,0.47,ukb_val,fev1,7,inc_pov_bin,False,xgboost
other,698,327.82,308.17,347.07,177018.87,156136.23,199458.99,0.63,0.57,0.68,ukb_val,fev1,7,inc_pov_bin,False,xgboost
All,3354,390.07,380.03,400.59,246430.58,235352.67,259124.09,0.57,0.55,0.60,nh,fev1,7,inc_pov_bin,False,xgboost
white,1330,355.17,340.52,371.65,205364.27,189397.89,223442.08,0.68,0.65,0.70,nh,fev1,7,inc_pov_bin,False,xgboost
black,739,355.11,333.91,376.40,212953.75,191522.85,237560.55,0.55,0.48,0.60,nh,fev1,7,inc_pov_bin,False,xgboost
asian,88,345.44,290.43,402.83,187778.39,136725.65,246624.12,0.57,0.39,0.70,nh,fev1,7,inc_pov_bin,False,xgboost
hispanic,1049,463.94,442.37,484.62,327372.52,302342.46,354067.02,0.36,0.30,0.42,nh,fev1,7,inc_pov_bin,False,xgboost
other,148,381.09,331.08,431.89,244384.40,183319.08,311545.10,0.49,0.33,0.62,nh,fev1,7,inc_pov_bin,False,xgboost
All,1569,372.30,358.62,386.96,228933.97,213221.48,245722.18,0.61,0.57,0.64,nh3,fev1,7,inc_pov_bin,False,xgboost
white,697,337.96,318.21,360.52,188936.76,167519.00,213496.93,0.70,0.66,0.73,nh3,fev1,7,inc_pov_bin,False,xgboost
black,367,362.48,332.40,392.92,220219.93,186112.06,256943.31,0.58,0.50,0.66,nh3,fev1,7,inc_pov_bin,False,xgboost
hispanic,420,433.50,402.13,468.68,296270.86,261131.82,337562.54,0.40,0.30,0.49,nh3,fev1,7,inc_pov_bin,False,xgboost
other,85,392.47,325.39,464.60,262422.82,181271.55,359730.85,0.43,0.14,0.62,nh3,fev1,7,inc_pov_bin,False,xgboost
All,1785,405.75,391.93,420.27,262029.79,246011.54,279731.46,0.55,0.51,0.58,nh4,fev1,7,inc_pov_bin,False,xgboost
white,633,374.44,352.19,396.02,224080.31,198187.79,249551.77,0.66,0.61,0.69,nh4,fev1,7,inc_pov_bin,False,xgboost
black,372,347.43,319.98,375.57,205858.75,175441.02,238819.84,0.50,0.39,0.59,nh4,fev1,7,inc_pov_bin,False,xgboost
asian,88,345.44,290.43,402.83,187778.39,136725.65,246624.12,0.57,0.39,0.70,nh4,fev1,7,inc_pov_bin,False,xgboost
hispanic,629,483.31,457.31,510.21,346957.74,315380.11,381280.59,0.34,0.24,0.41,nh4,fev1,7,inc_pov_bin,False,xgboost
other,63,366.17,297.66,441.65,220585.89,137392.99,321550.92,0.53,0.30,0.70,nh4,fev1,7,inc_pov_bin,False,xgboost
All,43260,324.82,322.23,327.16,179868.03,176811.55,183023.65,0.66,0.65,0.66,ukb_val,fev1,8,hs_grad,False,xgboost
white,40956,322.53,320.02,325.23,177316.01,174068.88,180438.19,0.66,0.65,0.66,ukb_val,fev1,8,hs_grad,False,xgboost
black,589,401.95,374.99,430.12,275820.30,234350.90,320943.39,0.29,0.17,0.41,ukb_val,fev1,8,hs_grad,False,xgboost
asian,1017,368.74,351.44,387.70,229126.14,201528.83,268166.24,0.41,0.35,0.47,ukb_val,fev1,8,hs_grad,False,xgboost
other,698,331.34,311.05,351.11,179504.81,156651.66,202220.80,0.62,0.56,0.68,ukb_val,fev1,8,hs_grad,False,xgboost
All,3354,393.24,383.24,403.74,250295.08,238637.23,262707.84,0.57,0.54,0.59,nh,fev1,8,hs_grad,False,xgboost
white,1330,353.69,338.62,370.27,205703.47,189609.87,223998.26,0.68,0.65,0.70,nh,fev1,8,hs_grad,False,xgboost
black,739,361.96,339.93,383.62,217398.32,194470.93,241698.23,0.54,0.48,0.60,nh,fev1,8,hs_grad,False,xgboost
asian,88,340.67,285.74,395.35,183446.99,133740.94,236891.09,0.58,0.41,0.71,nh,fev1,8,hs_grad,False,xgboost
hispanic,1049,471.51,450.72,492.27,337269.83,310744.19,363462.96,0.34,0.28,0.41,nh,fev1,8,hs_grad,False,xgboost
other,148,382.20,333.87,431.45,241255.94,180829.41,307616.50,0.49,0.34,0.62,nh,fev1,8,hs_grad,False,xgboost
All,1569,375.97,361.90,391.18,233308.07,216211.08,251051.46,0.60,0.56,0.63,nh3,fev1,8,hs_grad,False,xgboost
white,697,339.04,317.98,361.01,192032.27,169309.27,216886.47,0.69,0.65,0.73,nh3,fev1,8,hs_grad,False,xgboost
black,367,366.97,338.17,397.11,221286.01,188748.50,256389.31,0.58,0.50,0.66,nh3,fev1,8,hs_grad,False,xgboost
hispanic,420,442.22,410.36,476.00,306660.80,268949.84,347070.99,0.38,0.27,0.47,nh3,fev1,8,hs_grad,False,xgboost
other,85,389.33,321.09,460.96,262842.49,177094.80,365309.88,0.44,0.16,0.61,nh3,fev1,8,hs_grad,False,xgboost
All,1785,408.62,394.68,423.17,265543.56,249491.96,282742.00,0.54,0.50,0.57,nh4,fev1,8,hs_grad,False,xgboost
white,633,370.25,348.13,392.16,221373.77,196518.44,247172.81,0.66,0.62,0.70,nh4,fev1,8,hs_grad,False,xgboost
black,372,356.64,329.21,386.07,213853.97,183871.36,249170.00,0.48,0.36,0.58,nh4,fev1,8,hs_grad,False,xgboost
asian,88,340.67,285.74,395.35,183446.99,133740.94,236891.09,0.58,0.41,0.71,nh4,fev1,8,hs_grad,False,xgboost
hispanic,629,490.03,464.52,517.52,356439.37,324536.62,393095.28,0.32,0.23,0.39,nh4,fev1,8,hs_grad,False,xgboost
other,63,372.78,307.33,442.42,212371.48,138855.12,300283.58,0.54,0.34,0.70,nh4,fev1,8,hs_grad,False,xgboost
All,43260,324.70,322.22,327.14,179901.05,176861.75,182941.21,0.66,0.65,0.66,ukb_val,fev1,9,smoke_exposure,False,xgboost
white,40956,322.53,320.00,325.17,177486.29,174234.88,180663.47,0.66,0.65,0.66,ukb_val,fev1,9,smoke_exposure,False,xgboost
black,589,398.10,371.33,427.49,272421.61,230685.14,318185.04,0.30,0.18,0.42,ukb_val,fev1,9,smoke_exposure,False,xgboost
asian,1017,366.81,349.37,386.88,226313.48,198470.23,264723.22,0.42,0.35,0.48,ukb_val,fev1,9,smoke_exposure,False,xgboost
other,698,330.08,310.70,350.01,178825.24,157218.17,201519.00,0.62,0.56,0.68,ukb_val,fev1,9,smoke_exposure,False,xgboost
All,3354,393.78,384.20,404.75,250443.32,239207.06,263413.69,0.57,0.54,0.59,nh,fev1,9,smoke_exposure,False,xgboost
white,1330,359.26,344.34,375.67,210034.22,194170.66,227710.82,0.67,0.64,0.70,nh,fev1,9,smoke_exposure,False,xgboost
black,739,356.64,336.03,376.41,211477.50,189939.91,234875.18,0.55,0.49,0.61,nh,fev1,9,smoke_exposure,False,xgboost
asian,88,344.88,286.96,404.17,191752.46,136462.42,256123.85,0.57,0.38,0.69,nh,fev1,9,smoke_exposure,False,xgboost
hispanic,1049,468.58,446.66,489.07,335222.02,309326.25,360797.03,0.35,0.28,0.41,nh,fev1,9,smoke_exposure,False,xgboost
other,148,388.18,338.28,439.28,244129.30,187352.00,305554.98,0.49,0.32,0.62,nh,fev1,9,smoke_exposure,False,xgboost
All,1569,374.62,360.28,389.00,230982.68,214139.95,247817.79,0.60,0.57,0.63,nh3,fev1,9,smoke_exposure,False,xgboost
white,697,343.06,321.49,365.56,195081.76,173469.88,220025.40,0.69,0.65,0.72,nh3,fev1,9,smoke_exposure,False,xgboost
black,367,358.26,331.10,386.94,211103.76,178814.57,246460.58,0.60,0.52,0.67,nh3,fev1,9,smoke_exposure,False,xgboost
hispanic,420,435.56,404.47,469.87,301877.34,264559.11,341985.09,0.39,0.28,0.48,nh3,fev1,9,smoke_exposure,False,xgboost
other,85,400.76,334.78,468.36,260650.61,185427.63,351159.56,0.44,0.14,0.64,nh3,fev1,9,smoke_exposure,False,xgboost
All,1785,410.73,396.77,425.58,267891.48,251909.11,285869.73,0.54,0.50,0.57,nh4,fev1,9,smoke_exposure,False,xgboost
white,633,377.17,354.90,400.34,226924.31,201506.00,252850.34,0.65,0.61,0.69,nh4,fev1,9,smoke_exposure,False,xgboost
black,372,354.66,326.50,384.13,211982.60,181332.87,246001.19,0.49,0.37,0.59,nh4,fev1,9,smoke_exposure,False,xgboost
asian,88,344.88,286.96,404.17,191752.46,136462.42,256123.85,0.57,0.38,0.69,nh4,fev1,9,smoke_exposure,False,xgboost
hispanic,629,489.77,464.52,516.63,356242.05,323638.20,392521.76,0.32,0.23,0.39,nh4,fev1,9,smoke_exposure,False,xgboost
other,63,371.38,301.84,446.88,222329.24,142019.67,321902.12,0.52,0.29,0.70,nh4,fev1,9,smoke_exposure,False,xgboost
All,43260,337.69,335.15,340.10,194084.46,190931.75,197205.81,0.63,0.63,0.64,ukb_val,fev1,3,GLI global,False,gli_global
white,40956,329.40,326.83,331.93,184244.22,181090.61,187578.41,0.65,0.64,0.65,ukb_val,fev1,3,GLI global,False,gli_global
black,589,582.00,549.47,614.35,504212.05,450951.03,563764.43,-0.30,-0.50,-0.11,ukb_val,fev1,3,GLI global,False,gli_global
asian,1017,511.56,490.35,534.05,388861.31,354850.40,431292.56,-0.00,-0.13,0.12,ukb_val,fev1,3,GLI global,False,gli_global
other,698,363.92,342.13,386.13,225718.53,197229.13,257041.93,0.53,0.44,0.60,ukb_val,fev1,3,GLI global,False,gli_global
All,3354,350.62,341.93,359.94,201347.84,192114.96,212237.30,0.65,0.63,0.67,nh,fev1,3,GLI global,False,gli_global
white,1330,329.71,316.11,343.27,171971.47,159294.02,185126.26,0.73,0.71,0.75,nh,fev1,3,GLI global,False,gli_global
black,739,424.88,400.01,449.04,299146.72,268202.33,331782.78,0.37,0.28,0.45,nh,fev1,3,GLI global,False,gli_global
asian,88,341.26,282.93,402.22,203651.10,138412.72,274587.14,0.54,0.31,0.70,nh,fev1,3,GLI global,False,gli_global
hispanic,1049,324.45,309.08,340.68,169150.86,155295.88,183925.23,0.67,0.63,0.70,nh,fev1,3,GLI global,False,gli_global
other,148,363.85,321.43,410.69,206362.88,164969.25,253200.90,0.57,0.44,0.66,nh,fev1,3,GLI global,False,gli_global
All,1569,356.89,343.73,370.64,206833.24,191944.54,222057.92,0.64,0.61,0.67,nh3,fev1,3,GLI global,False,gli_global
white,697,329.75,310.98,349.18,175296.84,156371.41,195926.31,0.72,0.69,0.75,nh3,fev1,3,GLI global,False,gli_global
black,367,420.61,385.58,455.03,289512.66,244907.04,336367.46,0.45,0.34,0.55,nh3,fev1,3,GLI global,False,gli_global
hispanic,420,340.65,314.38,366.89,182725.00,157740.91,209262.95,0.63,0.57,0.68,nh3,fev1,3,GLI global,False,gli_global
other,85,386.52,330.58,447.38,230984.01,170081.61,302495.03,0.50,0.28,0.66,nh3,fev1,3,GLI global,False,gli_global
All,1785,345.41,331.58,357.22,196852.99,182630.06,210332.24,0.66,0.63,0.69,nh4,fev1,3,GLI global,False,gli_global
white,633,329.98,311.46,350.63,168981.87,152045.36,187212.63,0.74,0.71,0.77,nh4,fev1,3,GLI global,False,gli_global
black,372,428.54,396.44,466.64,308950.20,265851.93,358108.39,0.25,0.07,0.40,nh4,fev1,3,GLI global,False,gli_global
asian,88,341.26,282.93,402.22,203651.10,138412.72,274587.14,0.54,0.31,0.70,nh4,fev1,3,GLI global,False,gli_global
hispanic,629,312.91,293.97,332.84,159598.29,142766.44,176789.44,0.69,0.65,0.73,nh4,fev1,3,GLI global,False,gli_global
other,63,333.44,274.09,393.88,173311.96,124370.27,225752.23,0.63,0.46,0.75,nh4,fev1,3,GLI global,False,gli_global
