group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
other,148,485.32,426.58,546.18,379107.83,295054.71,473169.06,0.48,0.33,0.61,nh,fvc,9,hs_grad,True,xgboost
All,1569,475.55,457.08,494.86,370189.52,343938.42,400429.86,0.61,0.57,0.64,nh3,fvc,9,hs_grad,True,xgboost
white,697,429.85,405.79,455.80,306177.54,269310.08,346450.10,0.69,0.66,0.73,nh3,fvc,9,hs_grad,True,xgboost
black,367,447.74,412.83,480.75,328917.52,279067.23,375116.52,0.61,0.55,0.67,nh3,fvc,9,hs_grad,True,xgboost
hispanic,420,567.80,527.47,609.91,501665.72,439024.14,572452.40,0.36,0.25,0.45,nh3,fvc,9,hs_grad,True,xgboost
other,85,519.35,439.38,604.52,429466.53,315970.49,569638.35,0.40,0.13,0.59,nh3,fvc,9,hs_grad,True,xgboost
All,1785,503.14,484.54,520.82,405883.88,377919.21,433459.20,0.57,0.53,0.60,nh4,fvc,9,hs_grad,True,xgboost
white,633,448.80,422.55,477.65,331434.16,293136.23,373955.75,0.69,0.65,0.73,nh4,fvc,9,hs_grad,True,xgboost
black,372,423.04,388.59,457.60,291495.01,245637.17,340330.23,0.53,0.45,0.61,nh4,fvc,9,hs_grad,True,xgboost
asian,88,460.00,382.84,543.94,364877.42,264251.46,477903.09,0.51,0.37,0.62,nh4,fvc,9,hs_grad,True,xgboost
hispanic,629,617.23,583.86,650.36,563074.97,509902.53,621386.57,0.32,0.23,0.39,nh4,fvc,9,hs_grad,True,xgboost
other,63,439.11,359.92,523.26,312075.59,206398.88,443721.27,0.57,0.38,0.71,nh4,fvc,9,hs_grad,True,xgboost
All,43260,399.18,396.16,402.24,272608.68,267798.44,277526.06,0.68,0.68,0.69,ukb_val,fvc,10,smoke_exposure,True,xgboost
white,40956,399.77,396.66,402.96,272874.04,267907.36,277917.08,0.68,0.67,0.68,ukb_val,fvc,10,smoke_exposure,True,xgboost
black,589,390.35,364.07,420.06,278447.83,235460.93,329225.17,0.54,0.46,0.61,ukb_val,fvc,10,smoke_exposure,True,xgboost
asian,1017,367.20,346.65,387.50,248760.07,207968.73,305469.18,0.58,0.53,0.63,ukb_val,fvc,10,smoke_exposure,True,xgboost
other,698,415.46,390.48,442.01,286844.55,254849.62,324326.69,0.63,0.58,0.68,ukb_val,fvc,10,smoke_exposure,True,xgboost
