group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
asian,26,436.17,324.51,570.51,301955.14,145203.24,529552.83,0.11,-0.74,0.62,nh_val,fvc,3,height,False,xgboost
hispanic,315,452.60,416.83,489.40,320483.05,274576.42,368830.13,0.62,0.55,0.68,nh_val,fvc,3,height,False,xgboost
other,45,518.49,412.40,620.74,411182.45,263417.52,572907.74,0.47,0.25,0.64,nh_val,fvc,3,height,False,xgboost
All,144198,502.01,499.78,504.32,429078.18,424923.74,433151.63,0.49,0.49,0.50,ukb,fvc,3,height,False,xgboost
white,136520,493.84,491.63,495.96,417175.05,413279.69,421099.69,0.50,0.49,0.50,ukb,fvc,3,height,False,xgboost
black,1963,711.86,690.71,733.82,746815.50,703979.77,792230.68,-0.22,-0.34,-0.12,ukb,fvc,3,height,False,xgboost
asian,3389,691.98,676.52,708.24,701606.58,671646.57,733875.93,-0.14,-0.22,-0.07,ukb,fvc,3,height,False,xgboost
other,2326,527.96,511.89,545.40,465129.60,435542.29,497357.25,0.42,0.38,0.46,ukb,fvc,3,height,False,xgboost
All,1569,330.04,316.03,344.72,200558.10,182321.27,220676.34,0.79,0.76,0.81,nh3,fvc,3,height,False,xgboost
white,697,305.31,283.53,328.00,179168.31,152248.03,209457.10,0.82,0.79,0.85,nh3,fvc,3,height,False,xgboost
black,367,416.06,382.00,451.38,295263.34,242221.54,352538.71,0.65,0.56,0.73,nh3,fvc,3,height,False,xgboost
hispanic,420,293.74,270.48,319.60,154497.71,127602.70,184120.28,0.80,0.76,0.84,nh3,fvc,3,height,False,xgboost
other,85,341.52,286.70,399.79,195037.03,139948.17,257902.06,0.73,0.59,0.82,nh3,fvc,3,height,False,xgboost
All,1785,336.90,323.10,352.36,213442.83,193970.13,234387.00,0.77,0.75,0.80,nh4,fvc,3,height,False,xgboost
white,633,328.58,305.17,354.58,211704.49,177820.58,252121.67,0.80,0.76,0.84,nh4,fvc,3,height,False,xgboost
black,372,406.05,369.63,446.57,302007.34,244426.84,367142.79,0.52,0.39,0.62,nh4,fvc,3,height,False,xgboost
asian,88,351.60,289.68,418.59,213284.06,141781.64,299479.61,0.71,0.55,0.82,nh4,fvc,3,height,False,xgboost
hispanic,629,300.21,280.14,321.10,161374.94,139129.89,183555.40,0.80,0.77,0.83,nh4,fvc,3,height,False,xgboost
other,63,355.23,284.96,434.47,218432.87,131713.73,336122.17,0.70,0.52,0.83,nh4,fvc,3,height,False,xgboost
All,1007,479.35,458.01,501.86,374453.90,338822.81,411146.80,0.58,0.54,0.62,nh_val,fvc,4,sit_height,False,xgboost
white,399,486.59,449.58,524.36,397442.62,333526.44,464786.44,0.61,0.54,0.67,nh_val,fvc,4,sit_height,False,xgboost
black,222,527.68,475.40,580.22,446203.59,353597.64,554695.27,0.24,0.00,0.41,nh_val,fvc,4,sit_height,False,xgboost
asian,26,403.05,296.60,519.00,251335.19,139946.33,392367.64,0.25,-0.46,0.67,nh_val,fvc,4,sit_height,False,xgboost
hispanic,315,433.45,401.23,467.84,295929.03,255704.73,341321.11,0.65,0.58,0.71,nh_val,fvc,4,sit_height,False,xgboost
other,45,532.17,433.85,637.37,416594.60,273857.12,591887.52,0.46,0.22,0.64,nh_val,fvc,4,sit_height,False,xgboost
All,144198,507.73,505.50,509.97,437646.04,433466.17,441783.22,0.48,0.48,0.49,ukb,fvc,4,sit_height,False,xgboost
