group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
other,26,547.83,472924.21,0.27,nh3_val,fvc,9,Smoke Exposure,False
All,144198,513.07,438680.00,0.48,ukb,fvc,9,Smoke Exposure,False
white,136520,506.24,428728.16,0.49,ukb,fvc,9,Smoke Exposure,False
black,1963,650.19,644137.63,-0.05,ukb,fvc,9,Smoke Exposure,False
asian,3389,688.11,693059.16,-0.13,ukb,fvc,9,Smoke Exposure,False
other,2326,543.43,478757.97,0.40,ukb,fvc,9,Smoke Exposure,False
All,3354,403.01,392249.77,0.58,nh,fvc,9,Smoke Exposure,False
white,1330,366.85,329491.96,0.68,nh,fvc,9,Smoke Exposure,False
black,739,511.93,615952.72,0.17,nh,fvc,9,Smoke Exposure,False
asian,88,641.37,770045.52,-0.01,nh,fvc,9,Smoke Exposure,False
hispanic,1049,353.76,282930.97,0.65,nh,fvc,9,Smoke Exposure,False
other,148,391.41,389417.50,0.48,nh,fvc,9,Smoke Exposure,False
All,1785,600.78,638972.95,0.32,nh4,fvc,9,Smoke Exposure,False
white,633,574.66,564713.06,0.47,nh4,fvc,9,Smoke Exposure,False
black,372,824.55,1100984.43,-0.74,nh4,fvc,9,Smoke Exposure,False
asian,88,641.37,770045.52,-0.01,nh4,fvc,9,Smoke Exposure,False
hispanic,629,485.15,414603.54,0.50,nh4,fvc,9,Smoke Exposure,False
other,63,639.69,714087.55,0.03,nh4,fvc,9,Smoke Exposure,False
All,471,346.04,201923.59,0.65,nh3_val,fev1,4,Height,True
white,209,342.61,200186.90,0.66,nh3_val,fev1,4,Height,True
black,110,341.43,190960.93,0.64,nh3_val,fev1,4,Height,True
hispanic,126,339.96,190244.00,0.63,nh3_val,fev1,4,Height,True
other,26,422.66,318865.48,0.27,nh3_val,fev1,4,Height,True
All,144198,422.05,298032.17,0.43,ukb,fev1,4,Height,True
white,136520,420.92,296878.17,0.42,ukb,fev1,4,Height,True
black,1963,434.85,311217.03,0.21,ukb,fev1,4,Height,True
asian,3389,431.84,303963.16,0.22,ukb,fev1,4,Height,True
other,2326,463.10,345995.40,0.30,ukb,fev1,4,Height,True
All,3354,274.31,152790.75,0.74,nh,fev1,4,Height,True
white,1330,270.76,155087.46,0.76,nh,fev1,4,Height,True
black,739,275.94,154717.38,0.67,nh,fev1,4,Height,True
asian,88,380.07,243180.49,0.47,nh,fev1,4,Height,True
hispanic,1049,264.92,136373.44,0.73,nh,fev1,4,Height,True
other,148,301.85,185149.19,0.62,nh,fev1,4,Height,True
All,1785,364.69,223022.01,0.61,nh4,fev1,4,Height,True
white,633,382.29,246874.29,0.62,nh4,fev1,4,Height,True
black,372,375.05,236624.32,0.43,nh4,fev1,4,Height,True
asian,88,380.07,243180.49,0.47,nh4,fev1,4,Height,True
hispanic,629,332.63,182165.35,0.65,nh4,fev1,4,Height,True
other,63,425.36,282805.29,0.41,nh4,fev1,4,Height,True
All,471,382.77,238809.35,0.58,nh3_val,fev1,3,Height,False
white,209,374.32,227035.86,0.62,nh3_val,fev1,3,Height,False
black,110,452.13,328312.34,0.38,nh3_val,fev1,3,Height,False
hispanic,126,335.85,178952.12,0.65,nh3_val,fev1,3,Height,False
other,26,384.57,244860.97,0.44,nh3_val,fev1,3,Height,False
All,144198,415.72,290317.79,0.44,ukb,fev1,3,Height,False
white,136520,406.25,277820.64,0.46,ukb,fev1,3,Height,False
black,1963,646.00,613769.11,-0.55,ukb,fev1,3,Height,False
asian,3389,631.39,565823.16,-0.45,ukb,fev1,3,Height,False
other,2326,462.90,349426.96,0.30,ukb,fev1,3,Height,False
All,3354,313.69,194869.34,0.66,nh,fev1,3,Height,False
white,1330,305.77,187558.84,0.71,nh,fev1,3,Height,False
black,739,374.93,277934.02,0.41,nh,fev1,3,Height,False
asian,88,404.47,283722.76,0.38,nh,fev1,3,Height,False
hispanic,1049,274.65,140762.38,0.73,nh,fev1,3,Height,False
other,148,301.73,176472.58,0.64,nh,fev1,3,Height,False
All,1785,411.31,285676.62,0.50,nh4,fev1,3,Height,False
white,633,428.70,299455.73,0.54,nh4,fev1,3,Height,False
